Question,Response
"What are the pool hours?","The pool is open daily from 6 AM to 10 PM."
"When is the pool open?","The pool is open daily from 6 AM to 10 PM."
"Pool hours?","The pool is open daily from 6 AM to 10 PM."
"What time does the pool close?","The pool closes at 10 PM daily."
"Is the pool heated?","Yes, our pool is heated year-round for your comfort."
"Do you offer late checkout?","Yes, late checkout is available upon request and subject to availability. Please contact the front desk as early as possible."
"Can I check out late?","Yes, late checkout is available upon request and subject to availability. There may be an additional fee depending on how late you need."
"What's the late checkout fee?","Late checkout fees vary based on availability and how far you need to extend. Please contact the front desk for current rates."
"Is breakfast included in my booking?","Breakfast is complimentary with most bookings. Please check your reservation details or ask the front desk for confirmation."
"Is breakfast free?","Breakfast is complimentary with most bookings. Please verify with your reservation confirmation."
"What time is breakfast served?","Breakfast is served daily from 6:30 AM to 10:30 AM in our main restaurant."
"Do you serve breakfast?","Yes, breakfast is served daily from 6:30 AM to 10:30 AM. It's complimentary with most bookings."
"What time is check-in and check-out?","Check-in begins at 3 PM, and check-out is at 11 AM."
"When can I check in?","Check-in begins at 3 PM. If you arrive earlier, we can store your luggage until your room is ready."
"What's the check-in time?","Check-in time is 3 PM. Early check-in may be available based on room availability."
"When do I need to check out?","Check-out is at 11 AM. Late checkout may be available upon request."
"Can I check in early?","Early check-in is subject to availability. We'll do our best to accommodate you, and we can store your luggage if your room isn't ready."
"Can I get extra towels?","Certainly! We'll send extra towels to your room shortly."
"I need more towels","No problem! We'll deliver extra towels to your room right away."
"Can you bring towels to my room?","Of course! Extra towels will be sent to your room immediately."
"Do you have a gym?","Yes, our gym is located on the second floor and is open 24/7."
"Where is the gym?","The gym is on the second floor and is open 24 hours a day."
"Is there a fitness center?","Yes, our fitness center is on the second floor and is available 24/7 for all guests."
"What are the gym hours?","Our gym is open 24/7 for your convenience."
"Do you have workout equipment?","Yes, our 24/7 gym on the second floor has cardio machines, free weights, and strength training equipment."
"Is there free WiFi?","Yes, complimentary Wi-Fi is available throughout the hotel and restaurant."
"Do you have WiFi?","Yes, free Wi-Fi is available throughout the property. The network name and password are in your room."
"What's the WiFi password?","The Wi-Fi network name and password can be found on the information card in your room, or you can ask the front desk."
"How do I connect to WiFi?","Connect to our guest Wi-Fi network using the credentials provided in your room or at the front desk."
"The WiFi isn't working","I'm sorry to hear that. Please contact the front desk at extension 0, and our technical team will assist you immediately."
"Can I cancel my reservation?","Reservation cancellations are subject to our cancellation policy. Please check your booking confirmation or contact the front desk for assistance."
"What's your cancellation policy?","Our cancellation policy varies by booking type. Most reservations can be cancelled up to 48 hours before arrival. Please check your confirmation email or contact us."
"How do I cancel my booking?","You can cancel through your booking confirmation link or by contacting the front desk directly. Cancellation terms vary by rate."
"Is there a cancellation fee?","Cancellation fees depend on your booking type and how far in advance you cancel. Please refer to your reservation confirmation for details."
"Are pets allowed?","Yes, we are a pet-friendly establishment. There is a $25 per night pet fee. Pets must be kept on a leash in common areas."
"Can I bring my dog?","Yes! We welcome dogs. There's a $25 per night pet fee, and we ask that pets remain on leash in common areas."
"Do you allow cats?","Yes, we're pet-friendly and welcome cats. A $25 per night pet fee applies."
"Is this a pet friendly hotel?","Yes, we welcome pets! There's a $25 per night fee, and we provide pet amenities upon request."
"Do you have parking facilities?","Yes, parking is available for guests. There is a daily parking fee of $10. Both self-parking and valet options are available."
"Is parking free?","Parking is available for $10 per day. Both self-parking and valet services are offered."
"Where can I park?","Guest parking is available in our parking garage. The fee is $10 per day for self-parking. Valet service is also available."
"Do you offer valet parking?","Yes, valet parking is available for $15 per day."
"Is room service available 24/7?","Yes, our room service is available 24/7. You can order by calling extension 7 or using the in-room tablet."
"Can I order room service?","Yes! Room service is available 24/7. Dial extension 7 or use the in-room tablet to place your order."
"How do I order room service?","Call extension 7 from your room phone or use the in-room tablet to browse the menu and place your order."
"What's on the room service menu?","Our room service menu includes breakfast items, appetizers, entrees, desserts, and beverages. You can view it on the in-room tablet or we can send a physical menu to your room."
"Do you have vegetarian or vegan options on the menu?","Yes, we offer a variety of vegetarian and vegan options in our restaurant. All menu items are clearly marked."
